gill-attachment,gill-spacing,gill-size,gill-color,gillID
f,c,n,k,fcnk
f,c,b,k,fcbk
f,c,b,n,fcbn
f,c,n,n,fcnn
f,w,b,k,fwbk
f,c,b,n,fcbn
f,c,b,g,fcbg
f,c,b,n,fcbn
f,c,n,p,fcnp
f,c,b,g,fcbg
f,c,b,g,fcbg
f,c,b,n,fcbn
f,c,b,w,fcbw
f,c,n,k,fcnk
f,w,b,n,fwbn
f,c,n,k,fcnk
f,w,b,k,fwbk
f,c,n,n,fcnn
f,c,n,n,fcnn
f,c,n,k,fcnk
f,c,b,k,fcbk
f,c,n,n,fcnn
f,c,b,k,fcbk
f,c,b,w,fcbw
f,c,b,g,fcbg
f,c,n,n,fcnn
f,c,b,n,fcbn
f,c,b,w,fcbw
f,c,n,k,fcnk
f,w,n,n,fwnn
f,c,b,g,fcbg
f,c,n,k,fcnk
f,c,b,n,fcbn
f,c,b,p,fcbp
f,c,b,n,fcbn
f,w,n,w,fwnw
f,c,n,k,fcnk
f,c,n,w,fcnw
f,w,n,p,fwnp
f,c,b,k,fcbk
f,c,b,n,fcbn
f,c,b,n,fcbn
f,c,n,g,fcng
f,c,n,p,fcnp
f,c,b,w,fcbw
f,c,b,n,fcbn
f,c,b,k,fcbk
f,c,b,w,fcbw
f,c,b,n,fcbn
f,c,b,w,fcbw
f,c,b,w,fcbw
f,c,b,k,fcbk
f,c,b,k,fcbk
f,c,n,k,fcnk
f,c,n,k,fcnk
f,c,b,w,fcbw
f,w,b,n,fwbn
f,c,b,w,fcbw
f,c,b,k,fcbk
f,c,b,p,fcbp
f,c,n,k,fcnk
f,c,b,k,fcbk
f,c,b,g,fcbg
f,c,b,g,fcbg
f,c,b,n,fcbn
f,w,b,k,fwbk
f,c,b,n,fcbn
f,c,b,w,fcbw
f,c,b,w,fcbw
f,c,n,p,fcnp
f,w,n,p,fwnp
f,c,b,g,fcbg
f,w,n,w,fwnw
f,c,b,p,fcbp
f,c,b,k,fcbk
f,w,n,p,fwnp
f,w,n,n,fwnn
f,c,b,p,fcbp
f,c,n,w,fcnw
f,c,b,n,fcbn
f,w,b,k,fwbk
f,c,n,w,fcnw
f,c,n,n,fcnn
f,w,b,n,fwbn
f,c,b,w,fcbw
f,w,b,k,fwbk
f,c,b,w,fcbw
f,c,b,n,fcbn
f,c,b,w,fcbw
f,c,n,n,fcnn
f,c,n,n,fcnn
f,c,b,k,fcbk
f,c,b,g,fcbg
f,c,b,g,fcbg
f,w,b,n,fwbn
f,c,b,g,fcbg
f,c,b,p,fcbp
