class,bruises,odor,spore-print-color,population,habitat,mushroomID,capID,gillID,stalkID,veilID
p,t,p,k,s,u,pxsntpfcnkeesswwpwopksu,xsn,fcnk,eessww,pwop
e,t,a,n,n,g,exsytafcbkecsswwpwopnng,xsy,fcbk,ecssww,pwop
e,t,l,n,n,m,ebswtlfcbnecsswwpwopnnm,bsw,fcbn,ecssww,pwop
p,t,p,k,s,u,pxywtpfcnneesswwpwopksu,xyw,fcnn,eessww,pwop
e,f,n,n,a,g,exsgfnfwbktesswwpwoenag,xsg,fwbk,tessww,pwoe
e,t,a,k,n,g,exyytafcbnecsswwpwopkng,xyy,fcbn,ecssww,pwop
e,t,a,k,n,m,ebswtafcbgecsswwpwopknm,bsw,fcbg,ecssww,pwop
e,t,l,n,s,m,ebywtlfcbnecsswwpwopnsm,byw,fcbn,ecssww,pwop
p,t,p,k,v,g,pxywtpfcnpeesswwpwopkvg,xyw,fcnp,eessww,pwop
e,t,a,k,s,m,ebsytafcbgecsswwpwopksm,bsy,fcbg,ecssww,pwop
e,t,l,n,n,g,exyytlfcbgecsswwpwopnng,xyy,fcbg,ecssww,pwop
e,t,a,k,s,m,exyytafcbnecsswwpwopksm,xyy,fcbn,ecssww,pwop
e,t,a,n,s,g,ebsytafcbwecsswwpwopnsg,bsy,fcbw,ecssww,pwop
p,t,p,n,v,u,pxywtpfcnkeesswwpwopnvu,xyw,fcnk,eessww,pwop
e,f,n,k,a,g,exfnfnfwbntesfwwpwoekag,xfn,fwbn,tesfww,pwoe
e,f,n,n,y,u,esfgfnfcnkeesswwpwopnyu,sfg,fcnk,eessww,pwop
e,f,n,n,a,g,effwfnfwbktesswwpwoenag,ffw,fwbk,tessww,pwoe
p,t,p,k,s,g,pxsntpfcnneesswwpwopksg,xsn,fcnn,eessww,pwop
p,t,p,n,s,u,pxywtpfcnneesswwpwopnsu,xyw,fcnn,eessww,pwop
p,t,p,n,s,u,pxsntpfcnkeesswwpwopnsu,xsn,fcnk,eessww,pwop
e,t,a,n,s,m,ebsytafcbkecsswwpwopnsm,bsy,fcbk,ecssww,pwop
p,t,p,n,v,g,pxyntpfcnneesswwpwopnvg,xyn,fcnn,eessww,pwop
e,t,l,n,s,m,ebyytlfcbkecsswwpwopnsm,byy,fcbk,ecssww,pwop
e,t,a,n,n,m,ebywtafcbwecsswwpwopnnm,byw,fcbw,ecssww,pwop
e,t,l,k,s,m,ebswtlfcbgecsswwpwopksm,bsw,fcbg,ecssww,pwop
p,t,p,n,v,g,pfswtpfcnneesswwpwopnvg,fsw,fcnn,eessww,pwop
e,t,a,n,n,m,exyytafcbnecsswwpwopnnm,xyy,fcbn,ecssww,pwop
e,t,l,n,n,m,exywtlfcbwecsswwpwopnnm,xyw,fcbw,ecssww,pwop
e,f,n,k,y,u,effnfnfcnkeesswwpwopkyu,ffn,fcnk,eessww,pwop
e,t,a,n,v,d,exsytafwnntbsswwpwopnvd,xsy,fwnn,tbssww,pwop
e,t,l,n,n,m,ebsytlfcbgecsswwpwopnnm,bsy,fcbg,ecssww,pwop
p,t,p,n,s,u,pxywtpfcnkeesswwpwopnsu,xyw,fcnk,eessww,pwop
e,t,l,n,n,m,exyytlfcbnecsswwpwopnnm,xyy,fcbn,ecssww,pwop
e,t,l,n,y,p,exyntlfcbpersywwpwopnyp,xyn,fcbp,ersyww,pwop
e,t,l,n,s,m,ebyytlfcbnecsswwpwopnsm,byy,fcbn,ecssww,pwop
